Bias, Current, error
-0.46817,-1.05297,0.07946
-0.46416,-1.03741,0.07845
-0.46016,-1.02217,0.07759
-0.45616,-1.00819,0.07665
-0.45216,-0.99371,0.07576
-0.44816,-0.97945,0.07476
-0.44416,-0.96607,0.07423
-0.44016,-0.95236,0.07368
-0.43617,-0.93861,0.07314
-0.43217,-0.92515,0.07246
-0.42817,-0.91185,0.07182
-0.42417,-0.89783,0.07103
-0.42017,-0.88421,0.07037
-0.41617,-0.87113,0.06968
-0.41217,-0.85766,0.06892
-0.40817,-0.8446,0.06806
-0.40417,-0.8314,0.06719
-0.40016,-0.81845,0.06651
-0.39616,-0.80566,0.06569
-0.39216,-0.79312,0.06483
-0.38816,-0.78,0.06383
-0.38416,-0.76759,0.06282
-0.38016,-0.75521,0.06199
-0.37616,-0.7427,0.06101
-0.37216,-0.73054,0.06005
-0.36816,-0.71834,0.05894
-0.36416,-0.70634,0.05785
-0.36016,-0.69421,0.05672
-0.35616,-0.68236,0.05574
-0.35216,-0.6708,0.05464
-0.34816,-0.65911,0.05356
-0.34416,-0.64713,0.05238
-0.34016,-0.63511,0.0512
-0.33616,-0.62345,0.0501
-0.33216,-0.61196,0.04899
-0.32816,-0.60056,0.04789
-0.32416,-0.58934,0.04671
-0.32016,-0.57806,0.04562
-0.31616,-0.56693,0.04452
-0.31216,-0.55577,0.04349
-0.30816,-0.545,0.04243
-0.30416,-0.53447,0.04147
-0.30016,-0.52369,0.04055
-0.29616,-0.51338,0.03955
-0.29216,-0.50297,0.03859
-0.28816,-0.49267,0.03767
-0.28416,-0.48254,0.03678
-0.28016,-0.47281,0.03601
-0.27616,-0.46261,0.03522
-0.27216,-0.45278,0.03442
-0.26816,-0.4433,0.0336
-0.26416,-0.43394,0.03284
-0.26016,-0.42456,0.03207
-0.25616,-0.41533,0.03129
-0.25216,-0.40637,0.03046
-0.24816,-0.39752,0.02973
-0.24416,-0.38834,0.02901
-0.24016,-0.37937,0.02833
-0.23616,-0.37042,0.02768
-0.23216,-0.36175,0.02694
-0.22816,-0.35302,0.02634
-0.22416,-0.34464,0.02565
-0.22016,-0.3362,0.02506
-0.21616,-0.32731,0.02448
-0.21216,-0.3187,0.02398
-0.20816,-0.31043,0.02349
-0.20416,-0.30216,0.02296
-0.20016,-0.2941,0.02242
-0.19616,-0.28617,0.02189
-0.19216,-0.27798,0.02133
-0.18816,-0.27021,0.02081
-0.18416,-0.26193,0.0203
-0.18016,-0.2542,0.0198
-0.17616,-0.24643,0.0193
-0.17216,-0.23872,0.0188
-0.16816,-0.23116,0.01823
-0.16416,-0.22384,0.0177
-0.16016,-0.21627,0.0172
-0.15616,-0.20882,0.01671
-0.15216,-0.20159,0.0162
-0.14816,-0.19433,0.01579
-0.14416,-0.18664,0.01531
-0.14016,-0.17943,0.01485
-0.13616,-0.1725,0.01446
-0.13216,-0.16509,0.01407
-0.12816,-0.15812,0.01365
-0.12416,-0.15109,0.0133
-0.12016,-0.14402,0.01297
-0.11616,-0.13684,0.01264
-0.11216,-0.12966,0.01226
-0.10816,-0.1225,0.01191
-0.10416,-0.11537,0.01159
-0.10016,-0.1086,0.01129
-0.09616,-0.10195,0.01096
-0.09216,-0.09501,0.01066
-0.08816,-0.08824,0.0103
-0.08416,-0.08154,0.00998
-0.08016,-0.07498,0.00972
-0.07616,-0.06812,0.00933
-0.07216,-0.06165,0.00903
-0.06816,-0.05538,0.00869
-0.06416,-0.04901,0.00834
-0.06016,-0.04246,0.00802
-0.05616,-0.03615,0.00768
-0.05216,-0.02979,0.00736
-0.04816,-0.02336,0.00706
-0.04416,-0.01671,0.00673
-0.04016,-0.01072,0.00644
-0.03616,-0.00422,0.00617
-0.03216,0.00186,0.00586
-0.02816,0.00821,0.00555
-0.02416,0.01422,0.00528
-0.02016,0.02074,0.00501
-0.01616,0.02706,0.00476
-0.01216,0.03367,0.00451
-0.00816,0.03998,0.00428
-0.00416,0.0463,0.00404
-3.05371E-4,0.05258,0.00382
