Bias,Current,error
-0.17616,-0.28588,0.02365
-0.17216,-0.278,0.0231
-0.16816,-0.27054,0.02257
-0.16416,-0.26287,0.02204
-0.16016,-0.25555,0.02153
-0.15616,-0.2484,0.02103
-0.15216,-0.24091,0.02053
-0.14816,-0.23379,0.0201
-0.14416,-0.22674,0.01962
-0.14016,-0.21951,0.01914
-0.13616,-0.21281,0.0187
-0.13216,-0.20563,0.01826
-0.12816,-0.19884,0.01781
-0.12416,-0.19162,0.01737
-0.12016,-0.18472,0.01693
-0.11616,-0.17744,0.01652
-0.11216,-0.17039,0.01609
-0.10816,-0.16309,0.0157
-0.10416,-0.15568,0.01527
-0.10016,-0.14823,0.01484
-0.09616,-0.14097,0.01445
-0.09216,-0.13342,0.01403
-0.08816,-0.1256,0.01365
-0.08416,-0.11804,0.01322
-0.08016,-0.11044,0.01283
-0.07616,-0.10304,0.01242
-0.07216,-0.09592,0.01204
-0.06816,-0.08815,0.0116
-0.06416,-0.08042,0.01117
-0.06016,-0.07309,0.01072
-0.05616,-0.06588,0.01031
-0.05216,-0.05859,0.00987
-0.04816,-0.05123,0.00944
-0.04416,-0.04413,0.00902
-0.04016,-0.03704,0.00861
-0.03616,-0.02985,0.00819
-0.03216,-0.0229,0.00782
-0.02816,-0.01562,0.00741
-0.02416,-0.00836,0.00702
-0.02016,-0.00109,0.00666
-0.01616,0.00623,0.0063
-0.01216,0.01365,0.00592
-0.00816,0.0212,0.00557
-0.00416,0.02899,0.00524
-3.05371E-4,0.0366,0.0049
0.00369,0.04474,0.00458
0.00769,0.05252,0.00424
0.01169,0.06092,0.00393
0.01569,0.0693,0.00365
0.01969,0.07761,0.00337
0.02369,0.08608,0.00315
0.0277,0.09462,0.00298
0.0317,0.10339,0.00281
0.03569,0.11203,0.00272
0.0397,0.12064,0.00267
0.0437,0.12928,0.0027
0.0477,0.13837,0.0028
0.0517,0.1474,0.00302
0.0557,0.15675,0.00333
0.0597,0.16599,0.00371
0.0637,0.17517,0.00409
0.0677,0.18476,0.00451
0.0717,0.19416,0.00491
0.0757,0.20391,0.00537
0.0797,0.21389,0.0059
0.0837,0.22373,0.00633
0.0877,0.23376,0.00683
0.0917,0.2443,0.00737
0.0957,0.25491,0.00793
0.0997,0.26583,0.00851
0.1037,0.27684,0.00911
0.1077,0.28794,0.00979
0.1117,0.29912,0.01032
0.1157,0.31056,0.01092
0.1197,0.32223,0.01158
0.1237,0.33398,0.01226
0.1277,0.34611,0.01301
0.1317,0.35826,0.0138
0.1357,0.37017,0.01447
0.1397,0.38194,0.01513
0.1437,0.39373,0.01579
0.1477,0.40542,0.01633
0.1517,0.4172,0.01691
0.1557,0.42903,0.01751
0.1597,0.4414,0.01814
0.1637,0.45361,0.01882
0.1677,0.46598,0.01948
0.1717,0.47878,0.0202
0.1757,0.49165,0.02091
0.1797,0.50499,0.02169
0.1837,0.51881,0.02247
0.1877,0.53244,0.02326
0.1917,0.54667,0.02411
0.1957,0.56113,0.02497
0.1997,0.57538,0.02575
0.2037,0.59063,0.02668
0.2077,0.60592,0.02761
0.2117,0.62138,0.02848
0.2157,0.63652,0.02936
0.2197,0.65132,0.03018
0.2237,0.66652,0.03104
0.2277,0.68228,0.03186
0.2317,0.69806,0.03276
0.2357,0.71373,0.03369
0.2397,0.72926,0.03456
0.2437,0.74496,0.03536
0.2477,0.76057,0.0362
0.2517,0.77627,0.03701
0.2557,0.79201,0.03783
0.2597,0.80819,0.0387
0.2637,0.82475,0.03965
0.2677,0.8418,0.04063
0.2717,0.85935,0.04163
0.2757,0.87638,0.0426
0.2797,0.89359,0.04353
0.2837,0.91112,0.04448
0.2877,0.9297,0.04548
0.2917,0.94713,0.04642
0.2957,0.9672,0.04757
0.2997,0.98679,0.04875
0.3037,1.00773,0.05006
0.3077,1.02851,0.05137
0.3117,1.04915,0.05268
0.3157,1.0701,0.05401
0.3197,1.0913,0.05539
0.3237,1.11209,0.05644
0.3277,1.13263,0.05744
0.3317,1.1541,0.05861
0.3357,1.17513,0.05968
0.3397,1.19651,0.06087
0.3437,1.21744,0.06198
0.3477,1.23879,0.0631
0.3517,1.26137,0.06433
0.3557,1.28558,0.06578
0.3597,1.30879,0.06712
0.3637,1.33255,0.06839
0.3677,1.35807,0.06991
0.3717,1.3824,0.07123
0.3757,1.40911,0.07324
